"","code.sh","year","errad_aerea","lag.ataqinst_ELN","lag.H_coca","lag.errad_manual","H_Coca_mayor3","lag.DF_gast_inv","errad_manual","lag.lotes_coca","lotes_coca","lag.g_terreno","eb_mr","imr","lag.gini","Litr","lag.eb_pir"
"1376",17873,2010,0,NA,0,0.037037037037037,0,81.411217486404,0,0,0,0.766775923746604,3.02437533184335,13.24,NA,NA,14.5421650396249
"1377",17877,2001,0,0,0,0,0,71.6738954191405,0,0,0,0.670028575829097,NA,NA,NA,NA,NA
"1378",17877,2004,0,0,0,0.333333333333333,0,79.1202759897128,0,0,0,0.669145711830684,12.9900947494431,17.5700000000001,0.442728562014443,91.46326,NA
"1379",17877,2007,0,0,0,0,0,80.9108206349237,0,0,0,0.66048333474568,7.274961663883,16.5133333333333,NA,NA,NA
"1380",17877,2010,0,NA,0,0,0,82.8728755889191,0,0,0,0.661182383696238,6.71687428437023,15.1066666666666,NA,NA,10.961393559085
"1381",18001,2001,0,0,177.298333333333,3.65333333333333,1.33333333333333,77.2380385667552,300.04,98.9166666666667,10,0.575266670435667,NA,NA,NA,NA,NA
"1382",18001,2004,111.293333333333,0,124.78875,5.5,1,80.9539713440516,15.6666666666667,77.6666666666667,36.3333333333333,0.575673744082451,5.9344478597468,17.67,0.471187490969896,87.10658,NA
"1383",18001,2007,40.5,0,120.75,46.4533333333333,0,84.0681737597668,35.9666666666667,156.166666666667,16,0.573132076611121,5.23856514044625,16.89,NA,NA,NA
"1384",18001,2010,196.38,NA,89.7916666666667,176.705,0,86.4337476746743,35.9333333333333,126.041666666667,62,0.579033333808184,3.56956055062316,15.8158829025183,NA,NA,14.3191418026579
"1385",18029,2001,124.933333333333,0,573.4675,0.583333333333333,15.5933333333333,75.8028524094856,0,435,164.666666666667,0.413899997870127,NA,NA,NA,NA,NA
"1386",18029,2004,243.1,0,335.166666666667,2.16666666666667,20.3333333333333,80.95456596739,12,214.333333333333,94,0.418286663790544,13.1848887362497,28.33,0.498299986124039,88.56834,NA
"1387",18029,2007,77.2566666666667,0,184.833333333333,211.6,1,84.0932284389228,109.75,234.833333333333,76.6666666666667,0.426200826962789,7.34594668016022,27.0700000000001,NA,NA,NA
"1388",18029,2010,107.873333333333,NA,127.333333333333,38.5233333333333,0,86.5513431590664,0,233.416666666667,18.3333333333333,0.423254172007243,5.70632711335687,25.2631363455783,NA,NA,9.06208000072002
"1389",18094,2001,0,0,225.255238095238,45.0857142857143,3.92333333333333,74.6314909987244,2.33333333333333,182.380952380952,87,0.51969427721841,NA,NA,NA,NA,NA
